element_i_token,element_j_token,calibration_reference_graphs,calibration_sampled_graphs,test_reference_graphs,test_sampled_graphs
22,24,23,20,40,30
22,25,27,20,29,19
22,26,19,28,20,27
22,27,23,24,33,21
22,28,10,22,9,13
22,29,12,10,19,8
22,30,21,17,23,13
22,31,6,12,5,15
22,32,4,9,5,5
22,33,25,20,20,29
22,34,12,12,16,18
22,36,19,20,21,19
22,39,13,9,9,14
22,40,16,19,15,13
22,41,12,25,16,14
22,43,19,20,24,28
22,44,16,27,22,18
22,45,6,14,12,10
22,46,12,15,11,6
22,47,4,6,9,10
22,49,8,10,12,10
22,51,17,19,15,9
22,52,4,5,5,10
22,54,21,18,26,24
22,55,6,6,8,7
22,57,5,8,3,11
22,71,6,8,10,11
22,72,19,10,25,20
22,73,11,7,17,6
22,74,16,10,12,8
22,75,14,12,15,10
22,76,15,16,13,16
22,77,8,14,16,10
22,78,8,5,7,3
22,79,6,8,6,10
22,80,25,17,20,17
22,81,6,13,6,9
23,24,41,26,29,26
23,25,22,15,19,23
23,26,17,20,16,28
23,27,18,21,23,26
23,28,15,14,11,13
23,29,15,11,8,9
23,30,16,6,13,7
23,31,6,6,12,12
23,32,3,3,7,7
23,33,33,41,31,34
23,34,8,12,12,16
23,36,27,26,26,25
23,37,8,8,6,17
23,38,7,8,6,5
23,39,8,14,9,11
23,40,10,10,10,7
23,41,10,14,9,16
23,43,19,15,12,23
23,44,22,21,23,23
23,45,7,10,10,14
23,46,12,14,7,14
23,47,8,7,4,6
23,48,7,15,7,9
23,49,10,5,6,3
23,50,4,5,5,6
23,51,27,24,20,14
23,54,25,24,18,22
23,55,10,11,8,5
23,56,4,7,5,16
23,57,5,8,9,14
23,58,4,6,6,3
23,59,4,5,4,9
23,64,9,8,4,6
23,65,4,13,7,6
23,66,6,9,7,7
23,67,6,8,7,9
23,68,4,9,7,6
23,71,10,10,11,22
23,72,6,12,14,16
23,73,16,9,14,16
23,74,11,6,8,8
23,75,11,10,5,15
23,76,16,11,11,17
23,77,6,13,10,11
23,80,46,30,34,24
23,81,8,6,7,10
23,82,8,8,11,7
24,25,45,46,34,40
24,26,36,38,35,37
24,27,39,48,64,50
24,28,33,41,37,36
24,29,27,27,34,29
24,30,40,27,39,33
24,31,35,30,45,38
24,32,12,9,9,14
24,33,41,67,45,60
24,34,51,30,41,32
24,36,62,47,37,37
24,37,25,27,16,34
24,38,17,24,15,15
24,39,14,15,13,23
24,40,18,11,19,24
24,41,13,10,7,20
24,43,22,23,23,24
24,44,34,26,30,44
24,45,27,26,38,22
24,46,29,24,23,24
24,47,15,3,19,11
24,48,29,27,22,18
24,49,29,20,28,25
24,50,13,18,16,17
24,51,38,47,35,37
24,52,38,31,25,24
24,54,28,41,30,27
24,55,29,20,21,22
24,56,20,26,20,12
24,57,21,30,13,41
24,58,14,24,14,17
24,59,20,11,15,24
24,61,15,15,14,14
24,64,13,23,13,18
24,65,12,14,14,18
24,66,20,16,12,16
24,67,12,11,17,12
24,68,17,15,11,14
24,70,6,9,4,11
24,71,24,22,18,19
24,72,24,21,19,21
24,73,12,9,9,7
24,74,17,6,8,5
24,75,19,11,12,17
24,76,32,33,33,35
24,77,26,35,30,40
24,78,13,8,19,11
24,79,10,16,14,16
24,80,53,55,51,36
24,81,18,15,14,6
24,82,15,17,10,16
25,26,50,43,54,38
25,27,54,39,51,44
25,28,17,19,18,20
25,29,23,22,25,22
25,30,32,22,31,29
25,31,33,28,31,34
25,32,6,5,10,20
25,33,19,13,16,14
25,34,20,14,17,20
25,36,20,13,22,18
25,37,15,24,12,24
25,38,15,14,8,19
25,39,18,15,13,21
25,40,15,14,16,20
25,41,11,10,5,12
25,43,20,26,22,29
25,44,34,27,46,34
25,45,14,22,18,22
25,46,13,10,4,8
25,47,10,14,6,9
25,48,9,10,16,21
25,49,20,17,16,15
25,50,5,10,6,9
25,51,6,9,6,5
25,52,19,19,14,13
25,54,24,17,16,15
25,55,14,12,8,22
25,56,17,18,10,17
25,57,18,15,19,29
25,58,13,10,15,10
25,59,15,14,13,14
25,61,15,18,17,11
25,64,20,8,19,16
25,65,19,5,19,15
25,66,21,12,22,9
25,67,15,13,24,14
25,68,21,18,16,8
25,69,8,0,8,2
25,70,14,7,13,3
25,71,29,13,21,24
25,72,28,14,26,25
25,73,9,9,12,9
25,74,11,9,9,11
25,75,14,15,12,14
25,76,41,19,29,26
25,77,37,22,12,35
25,78,4,12,8,13
25,79,3,6,8,7
25,80,16,13,22,19
25,81,6,7,9,7
25,82,11,4,10,17
26,27,72,60,68,50
26,28,34,54,38,49
26,29,60,47,57,46
26,30,85,75,55,60
26,31,45,51,37,57
26,32,21,19,17,20
26,33,23,13,16,21
26,34,24,23,40,23
26,36,15,26,25,14
26,37,11,28,12,30
26,38,56,61,46,47
26,39,26,37,40,28
26,40,10,21,16,13
26,41,6,21,11,8
26,43,34,40,31,34
26,44,37,45,41,35
26,45,27,25,23,25
26,46,20,14,20,11
26,47,16,16,20,18
26,48,30,22,35,32
26,49,24,26,33,24
26,50,4,10,7,5
26,51,11,17,6,8
26,52,23,17,16,14
26,54,17,10,21,24
26,55,9,15,12,16
26,56,68,50,58,58
26,57,40,51,46,49
26,58,37,44,40,39
26,59,44,50,38,37
26,61,51,42,30,46
26,64,42,45,58,54
26,65,48,37,39,34
26,66,39,42,42,47
26,67,42,38,37,24
26,68,51,48,43,45
26,69,10,5,10,2
26,70,25,16,14,16
26,71,38,20,25,31
26,72,23,28,19,19
26,73,6,6,6,11
26,74,10,13,3,10
26,75,19,22,19,17
26,76,41,48,49,47
26,77,23,37,22,32
26,78,4,12,8,22
26,79,13,8,21,20
26,80,31,14,31,21
26,81,6,8,9,13
26,82,7,12,5,4
27,28,103,105,92,100
27,29,107,84,101,88
27,30,108,105,116,141
27,31,72,85,75,94
27,32,64,51,46,47
27,33,29,39,25,41
27,34,18,24,17,16
27,36,29,26,25,16
27,37,34,53,49,46
27,38,60,71,47,78
27,39,34,38,35,28
27,40,17,21,16,23
27,41,8,22,13,12
27,43,38,54,41,54
27,44,105,72,90,81
27,45,65,62,50,58
27,46,17,34,20,34
27,47,40,42,24,34
27,48,67,51,54,42
27,49,53,56,71,49
27,50,29,18,33,24
27,51,20,20,23,23
27,52,24,21,18,23
27,54,14,23,15,25
27,55,31,34,24,23
27,56,80,73,68,63
27,57,25,72,23,71
27,58,80,74,79,71
27,59,82,81,83,61
27,61,48,53,51,47
27,62,6,6,8,5
27,64,63,64,64,66
27,65,72,61,64,65
27,66,59,46,52,72
27,67,64,63,62,53
27,68,60,50,72,59
27,69,12,8,16,13
27,70,18,22,24,29
27,71,24,46,24,25
27,72,17,25,19,26
27,73,8,13,7,7
27,74,6,7,5,9
27,75,23,24,14,30
27,76,67,63,64,68
27,77,80,90,87,67
27,78,36,31,41,36
27,79,15,17,20,20
27,80,27,29,29,20
27,81,16,25,15,17
27,82,12,14,14,17
28,29,140,153,153,156
28,30,146,162,132,172
28,31,72,83,75,97
28,32,34,45,52,30
28,33,65,78,56,82
28,34,63,67,76,53
28,36,72,82,55,69
28,37,65,75,69,73
28,38,66,105,88,105
28,39,33,54,30,59
28,40,3,9,7,16
28,43,28,48,23,44
28,44,65,77,81,94
28,45,103,121,114,150
28,46,67,92,82,64
28,47,55,81,53,69
28,48,72,77,73,71
28,49,72,92,66,75
28,50,45,30,31,36
28,51,45,65,70,61
28,52,60,45,52,53
28,54,61,61,58,53
28,55,63,66,43,57
28,56,80,108,89,100
28,57,33,71,44,72
28,58,71,100,95,114
28,59,95,111,79,114
28,61,78,108,71,96
28,62,21,11,20,13
28,64,86,95,75,87
28,65,68,84,91,89
28,66,77,103,81,91
28,67,79,86,76,95
28,68,85,65,84,81
28,69,19,13,17,15
28,70,27,35,30,24
28,71,18,30,40,29
28,72,5,6,6,10
28,75,11,19,13,14
28,76,43,42,50,50
28,77,90,97,95,118
28,78,78,75,84,83
28,79,45,54,36,42
28,80,74,67,84,80
28,81,28,31,25,31
28,82,23,21,12,26
29,30,182,125,169,134
29,31,62,64,73,61
29,32,28,11,19,24
29,33,28,29,32,16
29,34,27,14,26,24
29,36,49,29,44,36
29,37,116,123,104,106
29,38,79,89,99,92
29,39,45,56,55,46
29,40,11,15,11,10
29,41,6,8,6,16
29,43,35,45,42,33
29,44,84,86,119,86
29,45,137,128,135,160
29,46,171,112,167,114
29,47,114,109,116,94
29,48,96,102,117,103
29,49,54,64,55,66
29,50,26,25,28,17
29,51,14,25,30,14
29,52,27,26,10,12
29,54,35,31,50,24
29,55,91,73,95,65
29,56,144,109,103,93
29,57,63,83,84,75
29,58,107,95,114,116
29,59,98,110,125,113
29,61,91,103,84,98
29,62,21,18,26,13
29,64,102,107,103,112
29,65,77,78,79,104
29,66,95,115,94,88
29,67,86,76,85,81
29,68,65,69,69,89
29,69,10,3,8,10
29,70,34,47,26,40
29,71,33,33,32,32
29,72,12,8,11,11
29,75,20,17,20,20
29,76,79,63,73,61
29,77,112,106,119,121
29,78,160,123,196,126
29,79,76,67,72,79
29,80,69,50,54,50
29,81,22,29,28,27
29,82,19,27,28,25
30,31,68,52,71,62
30,32,19,15,22,19
30,33,35,21,26,31
30,34,44,25,40,28
30,36,55,46,51,40
30,37,91,93,96,116
30,38,85,83,83,85
30,39,30,33,28,46
30,40,20,12,18,8
30,41,13,5,3,6
30,43,57,53,60,57
30,44,99,122,114,114
30,45,147,155,153,160
30,46,127,113,114,118
30,47,101,104,108,89
30,48,125,91,114,98
30,49,77,49,85,63
30,50,40,21,26,14
30,51,25,31,22,24
30,52,43,29,46,35
30,54,41,27,39,35
30,55,83,72,92,80
30,56,116,106,109,96
30,57,80,121,94,123
30,58,114,104,101,104
30,59,131,129,149,118
30,61,96,102,96,90
30,62,16,14,31,8
30,64,122,90,107,110
30,65,97,76,109,73
30,66,121,86,89,112
30,67,83,88,105,85
30,68,96,88,93,83
30,69,16,11,17,15
30,70,31,32,33,25
30,71,35,26,34,33
30,72,19,6,16,10
30,75,21,13,25,18
30,76,93,76,97,89
30,77,137,128,119,121
30,78,157,112,140,124
30,79,93,65,76,58
30,80,67,51,60,53
30,81,28,31,26,35
30,82,33,30,42,29
31,32,25,19,24,26
31,33,53,57,51,43
31,34,40,36,54,39
31,36,32,31,33,32
31,37,50,52,54,60
31,38,49,46,54,54
31,39,12,21,15,27
31,40,4,8,8,6
31,43,38,32,32,47
31,44,79,108,65,96
31,45,84,80,92,128
31,46,37,35,42,38
31,47,22,32,30,22
31,48,31,46,45,44
31,49,37,32,37,37
31,50,22,21,14,13
31,51,59,41,59,41
31,52,32,40,26,39
31,54,19,40,18,34
31,55,45,46,50,78
31,56,93,81,88,83
31,57,54,89,63,91
31,58,66,80,76,80
31,59,79,78,82,74
31,61,55,70,61,63
31,62,10,11,9,5
31,64,71,54,47,54
31,65,58,53,59,61
31,66,52,63,47,45
31,67,47,52,50,40
31,68,44,46,44,50
31,69,14,7,15,11
31,70,12,15,3,6
31,71,9,14,11,12
31,75,14,11,15,20
31,76,53,62,63,71
31,77,72,86,89,71
31,78,57,53,64,52
31,79,10,25,20,22
31,80,31,45,33,33
31,81,14,21,13,20
31,82,12,22,17,22
32,33,67,42,52,51
32,34,29,18,39,18
32,36,42,43,39,39
32,37,34,30,57,54
32,38,45,27,27,46
32,39,13,6,11,16
32,43,13,19,16,9
32,44,55,35,46,48
32,45,69,66,91,55
32,46,31,22,27,20
32,47,22,23,12,16
32,48,14,22,15,16
32,49,20,19,15,24
32,50,27,18,35,20
32,51,38,45,35,35
32,52,36,30,32,28
32,54,42,24,46,33
32,55,50,49,61,64
32,56,53,43,57,44
32,57,45,84,69,75
32,58,48,55,57,45
32,59,74,54,53,51
32,61,57,53,47,55
32,62,7,7,11,9
32,64,38,43,47,54
32,65,33,46,32,42
32,66,44,44,28,39
32,67,31,21,32,39
32,68,31,40,43,41
32,69,9,7,11,5
32,71,10,13,15,10
32,76,24,15,23,15
32,77,21,45,35,34
32,78,26,30,25,23
32,79,18,27,22,19
32,80,35,30,40,27
32,81,36,21,32,16
32,82,18,16,29,20
33,34,17,22,14,7
33,36,119,122,114,128
33,37,32,34,34,42
33,38,107,126,116,122
33,39,55,52,46,60
33,40,18,16,21,17
33,41,13,11,12,12
33,44,24,24,28,17
33,45,24,25,28,23
33,46,65,63,72,67
33,47,21,21,20,30
33,48,50,62,53,69
33,49,57,59,55,77
33,50,61,57,50,55
33,51,63,36,66,26
33,52,11,19,17,13
33,54,85,87,87,97
33,55,44,38,43,55
33,56,89,66,84,80
33,57,109,165,134,173
33,58,113,93,108,104
33,59,126,99,111,127
33,61,115,114,112,131
33,62,8,3,4,7
33,64,114,144,122,117
33,65,134,126,125,123
33,66,130,119,119,139
33,67,121,96,113,126
33,68,118,119,119,99
33,70,8,6,4,9
33,71,43,37,45,55
33,72,13,33,25,28
33,73,14,9,9,9
33,76,9,19,14,16
33,77,11,27,12,22
33,78,28,22,33,18
33,79,39,28,44,53
33,80,121,127,153,138
33,81,57,40,47,42
33,82,58,49,48,55
34,36,167,141,138,142
34,37,33,36,40,32
34,38,19,20,10,21
34,39,5,9,8,14
34,41,5,7,6,6
34,43,17,23,25,17
34,44,25,26,16,18
34,45,22,28,33,21
34,46,107,70,113,80
34,47,36,33,30,37
34,48,80,60,65,74
34,49,52,40,57,48
34,50,29,21,19,29
34,51,16,8,12,20
34,52,22,13,18,8
34,54,151,126,153,139
34,55,53,36,44,34
34,56,53,54,68,41
34,57,26,29,27,42
34,58,49,44,59,26
34,59,45,36,38,29
34,61,32,25,23,28
34,64,17,14,16,9
34,65,21,13,16,12
34,66,16,20,17,17
34,67,9,11,12,19
34,68,12,15,12,9
34,75,17,16,22,9
34,76,35,20,31,25
34,77,26,30,24,24
34,78,32,26,42,24
34,79,55,46,50,56
34,80,110,116,135,116
34,81,36,52,60,36
34,82,21,19,15,21
36,37,24,33,25,37
36,38,34,26,39,43
36,39,28,26,23,25
36,40,8,13,10,6
36,41,16,16,16,8
36,43,10,6,18,3
36,44,20,21,19,16
36,45,48,36,38,44
36,46,102,75,80,71
36,47,95,83,96,97
36,48,99,71,86,106
36,49,93,67,82,77
36,50,78,48,47,51
36,51,95,112,110,106
36,52,141,119,127,132
36,54,119,107,117,105
36,55,42,28,25,32
36,56,26,24,21,38
36,57,47,49,39,70
36,58,19,28,28,29
36,59,23,35,26,30
36,61,36,40,31,40
36,64,28,46,30,43
36,65,30,36,39,37
36,66,33,31,31,39
36,67,31,31,38,32
36,68,29,27,29,28
36,71,15,17,21,21
36,72,6,10,13,7
36,73,10,4,5,3
36,74,5,6,8,3
36,75,12,5,7,9
36,76,11,8,14,20
36,77,30,35,23,28
36,78,90,84,100,72
36,79,133,102,133,122
36,80,137,142,137,137
36,81,75,76,96,59
36,82,85,81,66,67
37,38,18,21,23,33
37,39,5,20,11,12
37,40,7,17,14,16
37,41,6,9,8,17
37,43,20,17,24,20
37,44,66,61,59,65
37,45,103,110,111,107
37,46,107,87,98,115
37,47,118,134,118,116
37,48,120,118,115,132
37,49,86,112,85,104
37,50,52,39,53,33
37,51,29,48,43,46
37,52,48,28,38,40
37,54,29,23,37,22
37,55,133,90,77,100
37,56,24,34,40,27
37,57,18,34,33,26
37,58,43,26,21,28
37,59,31,20,29,21
37,61,14,25,20,23
37,62,9,7,17,9
37,64,25,27,20,17
37,65,22,14,20,21
37,66,17,29,15,32
37,67,7,18,13,16
37,68,12,28,9,16
37,71,7,11,10,16
37,72,12,4,12,11
37,73,13,11,10,7
37,74,3,5,11,6
37,75,13,11,6,14
37,76,57,43,48,35
37,77,68,80,89,96
37,78,83,104,106,65
37,79,124,96,110,107
37,80,111,81,120,92
37,81,67,50,75,53
37,82,50,62,62,60
38,39,31,34,28,32
38,43,44,53,48,54
38,44,64,65,65,62
38,45,61,66,65,77
38,46,77,75,74,87
38,47,64,70,79,86
38,48,80,99,98,96
38,49,34,37,49,47
38,50,36,26,29,29
38,51,114,140,112,145
38,52,14,18,23,14
38,54,28,23,21,27
38,55,11,15,17,17
38,56,166,149,142,141
38,57,62,92,61,96
38,58,175,146,171,160
38,59,144,196,177,182
38,61,162,163,186,181
38,62,8,8,11,3
38,64,194,197,181,207
38,65,181,178,173,174
38,66,173,179,172,176
38,67,174,186,177,172
38,68,145,174,152,179
38,70,21,21,20,17
38,71,11,22,10,15
38,72,5,4,6,7
38,75,14,17,6,15
38,76,61,52,47,55
38,77,54,70,75,77
38,78,47,47,71,53
38,79,86,63,57,46
38,80,109,86,94,92
38,81,28,42,46,30
38,82,32,40,55,46
39,40,12,7,15,12
39,41,4,11,8,9
39,43,28,37,20,34
39,44,33,47,39,41
39,45,35,34,37,30
39,46,30,35,29,31
39,47,35,40,43,31
39,48,44,52,35,25
39,49,16,22,14,21
39,50,14,12,14,13
39,51,41,50,44,43
39,52,13,16,4,10
39,54,16,19,20,15
39,55,11,6,8,12
39,56,13,13,4,24
39,57,15,12,19,27
39,58,5,10,11,16
39,59,16,25,13,20
39,61,13,32,13,18
39,64,25,18,25,15
39,65,28,24,25,18
39,66,34,30,32,21
39,67,27,26,29,16
39,68,31,14,36,24
39,70,7,9,11,14
39,71,38,33,54,32
39,72,15,14,13,14
39,74,7,8,5,5
39,75,10,12,15,22
39,76,23,34,32,35
39,77,19,36,25,29
39,78,22,22,34,26
39,79,36,28,33,18
39,80,49,31,48,49
39,81,20,14,12,15
39,82,11,19,17,21
40,41,13,15,18,18
40,43,30,28,22,28
40,44,24,34,18,22
40,45,10,11,5,12
40,48,6,6,7,10
40,49,8,5,6,7
40,51,13,12,10,6
40,54,9,5,8,5
40,55,11,11,14,9
40,56,5,9,8,5
40,57,4,9,9,15
40,71,16,11,10,15
40,72,27,13,25,16
40,73,9,10,18,11
40,74,13,8,14,7
40,75,16,19,24,15
40,76,18,16,22,18
40,77,10,12,8,8
40,78,12,9,7,7
40,80,9,13,15,14
41,43,5,10,13,18
41,44,9,22,16,14
41,46,3,5,5,8
41,51,14,8,16,8
41,54,9,8,10,6
41,55,11,6,6,10
41,66,5,3,4,4
41,67,6,7,5,3
41,68,3,1,4,3
41,71,14,17,8,13
41,72,26,18,23,24
41,73,34,22,41,19
41,74,10,4,15,12
41,75,4,17,12,9
41,76,8,16,8,16
41,77,7,15,9,15
41,80,8,7,8,8
43,44,58,44,44,61
43,45,19,20,24,31
43,46,18,20,23,21
43,47,15,22,12,21
43,48,31,33,28,25
43,49,29,23,27,17
43,52,10,13,17,10
43,54,6,10,6,7
43,55,19,14,12,11
43,56,68,50,67,49
43,57,60,59,57,58
43,58,47,49,50,34
43,59,38,50,50,55
43,61,29,51,40,49
43,64,38,54,50,48
43,65,45,51,53,44
43,66,49,53,49,49
43,67,46,57,53,48
43,68,38,68,41,49
43,69,4,8,10,5
43,70,27,13,24,15
43,71,27,26,20,29
43,72,24,32,31,29
43,73,14,10,20,10
43,74,8,11,12,9
43,75,25,31,24,21
43,76,62,47,47,43
43,77,28,33,27,36
43,78,17,18,17,14
43,79,15,12,17,19
43,80,23,22,19,23
43,81,14,10,10,16
44,45,85,74,81,80
44,46,44,49,42,29
44,47,64,49,78,56
44,48,83,78,76,72
44,49,77,66,55,68
44,50,34,37,45,46
44,51,6,10,5,8
44,52,18,16,27,18
44,54,18,9,15,12
44,55,57,52,63,62
44,56,104,90,86,88
44,57,65,91,72,87
44,58,98,72,85,89
44,59,79,86,75,85
44,61,73,81,74,88
44,62,10,12,4,12
44,64,81,92,83,91
44,65,71,64,76,85
44,66,78,68,65,78
44,67,60,78,59,73
44,68,73,82,63,76
44,69,9,11,12,5
44,70,21,14,21,23
44,71,39,29,26,31
44,72,24,22,27,23
44,73,5,18,13,11
44,74,14,4,5,10
44,75,21,26,23,31
44,76,75,86,95,79
44,77,84,81,91,102
44,78,60,34,48,38
44,79,44,47,38,47
44,80,73,47,55,45
44,81,41,41,39,21
44,82,30,25,28,32
45,46,100,95,111,99
45,47,89,97,91,86
45,48,103,113,94,104
45,49,108,89,93,106
45,50,57,63,55,53
45,51,24,13,22,16
45,52,32,30,29,23
45,54,23,40,41,30
45,55,110,91,112,100
45,56,115,102,116,102
45,57,57,91,49,93
45,58,93,101,97,119
45,59,83,101,100,111
45,61,60,89,56,105
45,62,15,8,8,11
45,64,83,77,84,90
45,65,76,90,62,89
45,66,82,98,70,108
45,67,70,69,72,79
45,68,75,81,69,63
45,69,8,8,15,11
45,70,34,24,32,23
45,71,21,25,29,18
45,72,15,8,5,8
45,75,16,18,13,14
45,76,31,39,51,51
45,77,122,112,106,87
45,78,130,93,142,87
45,79,106,83,104,74
45,80,79,71,75,64
45,81,71,52,80,68
45,82,40,45,62,46
46,47,177,189,205,187
46,48,144,134,129,159
46,49,84,96,100,101
46,50,55,39,37,37
46,51,74,68,72,71
46,52,61,51,71,54
46,54,87,65,94,80
46,55,119,113,104,86
46,56,103,92,118,88
46,57,46,78,43,83
46,58,77,94,76,79
46,59,88,90,98,77
46,61,73,99,96,91
46,62,19,18,31,23
46,64,69,83,87,81
46,65,69,82,67,60
46,66,72,89,88,92
46,67,64,80,76,72
46,68,71,73,84,71
46,69,4,5,9,4
46,70,26,21,32,29
46,71,12,17,13,12
46,75,6,8,12,5
46,76,22,32,30,16
46,77,59,59,61,45
46,78,150,114,151,99
46,79,123,128,115,124
46,80,120,105,145,135
46,81,68,72,78,73
46,82,46,36,30,45
47,48,192,211,186,221
47,49,107,105,95,112
47,50,35,32,34,32
47,51,19,30,15,26
47,52,32,29,30,27
47,54,92,66,91,79
47,55,117,110,119,81
47,56,109,97,95,89
47,57,37,78,49,60
47,58,100,94,71,93
47,59,74,96,83,73
47,61,79,88,65,94
47,62,19,20,26,22
47,64,76,101,93,104
47,65,71,79,78,83
47,66,70,76,74,78
47,67,69,77,75,90
47,68,62,69,70,72
47,69,4,8,4,9
47,70,26,22,28,29
47,71,15,18,15,11
47,75,14,10,9,10
47,76,28,19,23,33
47,77,73,58,71,75
47,78,160,126,163,133
47,79,269,196,218,201
47,80,172,143,169,148
47,81,114,99,115,96
47,82,70,56,60,48
48,49,144,119,139,127
48,50,33,32,29,43
48,51,50,54,53,73
48,52,70,56,78,71
48,54,65,78,81,88
48,55,113,105,125,118
48,56,133,101,128,90
48,57,68,102,70,106
48,58,120,86,92,114
48,59,115,107,113,119
48,61,77,115,85,102
48,62,20,22,18,21
48,64,99,124,102,102
48,65,98,88,100,88
48,66,109,101,86,96
48,67,82,108,109,93
48,68,109,106,85,89
48,69,5,9,18,11
48,70,21,27,33,36
48,71,31,27,29,17
48,72,4,5,6,9
48,75,10,9,10,30
48,76,60,47,47,49
48,77,72,64,69,57
48,78,132,103,123,124
48,79,224,226,245,219
48,80,219,169,197,185
48,81,154,113,158,115
48,82,78,66,72,52
49,50,40,41,35,31
49,51,52,57,59,48
49,52,45,28,42,42
49,54,52,56,57,65
49,55,112,99,113,85
49,56,108,67,71,60
49,57,45,87,52,84
49,58,74,75,78,77
49,59,77,65,62,75
49,61,44,56,47,60
49,62,22,17,19,20
49,64,51,68,61,51
49,65,52,40,55,57
49,66,45,51,35,48
49,67,41,41,42,36
49,68,48,47,44,37
49,69,16,10,10,6
49,70,22,9,26,12
49,71,12,16,13,11
49,75,9,9,8,7
49,76,30,43,40,42
49,77,60,55,49,64
49,78,105,74,95,80
49,79,97,113,112,98
49,80,121,100,101,98
49,81,82,56,100,33
49,82,47,57,64,38
50,51,67,47,58,37
50,52,29,15,23,25
50,54,43,55,51,46
50,55,70,52,52,64
50,56,54,33,50,32
50,57,43,46,31,58
50,58,46,43,46,32
50,59,35,39,44,37
50,61,40,28,32,41
50,62,9,2,7,5
50,64,40,41,45,33
50,65,38,26,38,33
50,66,28,33,33,25
50,67,33,28,36,35
50,68,30,40,38,35
50,71,7,8,8,8
50,76,14,16,12,14
50,77,36,24,25,32
50,78,52,41,40,31
50,79,57,39,42,31
50,80,81,43,94,55
50,81,35,28,37,28
50,82,50,33,36,29
51,52,18,31,19,18
51,54,77,93,74,74
51,55,44,54,34,44
51,56,82,88,90,105
51,57,55,124,69,116
51,58,104,117,117,106
51,59,98,141,120,113
51,61,131,149,115,125
51,64,128,167,122,155
51,65,118,115,128,127
51,66,122,97,132,122
51,67,116,130,118,120
51,68,89,132,112,113
51,71,24,33,29,45
51,72,10,17,11,6
51,73,16,6,14,4
51,76,7,6,5,12
51,77,10,5,11,11
51,78,10,18,5,14
51,79,54,43,56,38
51,80,110,122,131,109
51,81,20,31,20,43
51,82,69,66,70,57
52,54,146,145,135,130
52,55,68,45,60,55
52,56,56,50,66,72
52,57,31,31,25,37
52,58,55,36,49,27
52,59,38,23,46,23
52,61,37,22,33,29
52,64,22,19,22,18
52,65,15,20,16,18
52,66,12,11,14,21
52,67,23,14,16,16
52,68,11,12,19,17
52,75,14,6,15,9
52,76,21,23,24,22
52,77,24,30,23,35
52,78,43,29,45,39
52,79,69,47,43,56
52,80,95,78,90,105
52,81,38,38,35,36
52,82,25,25,19,32
54,55,28,15,29,35
54,56,36,29,30,29
54,57,30,47,19,57
54,58,21,32,24,12
54,59,23,35,25,19
54,61,27,29,30,32
54,64,18,29,28,28
54,65,31,24,19,25
54,66,23,25,19,21
54,67,20,28,32,23
54,68,14,26,28,29
54,71,9,18,10,20
54,72,6,6,10,5
54,73,5,8,4,8
54,75,5,8,5,6
54,76,14,4,15,14
54,77,21,30,21,35
54,78,81,75,93,81
54,79,130,123,135,125
54,80,124,145,113,147
54,81,64,75,68,54
54,82,61,52,65,55
55,56,31,27,31,20
55,57,17,34,20,27
55,58,21,17,18,19
55,59,13,23,14,29
55,61,17,20,15,24
55,62,16,5,19,8
55,64,22,21,18,23
55,65,16,11,13,15
55,66,18,11,13,20
55,67,10,16,12,13
55,68,12,16,8,20
55,71,8,21,11,15
55,72,9,9,10,14
55,73,12,10,14,9
55,74,4,3,5,1
55,75,12,4,8,8
55,76,56,25,37,37
55,77,83,74,91,97
55,78,131,108,123,107
55,79,132,109,111,106
55,80,126,82,116,113
55,81,75,57,93,60
55,82,77,65,74,85
56,57,61,83,56,81
56,58,167,145,168,120
56,59,144,173,167,139
56,61,129,151,116,146
56,64,146,146,139,138
56,65,130,127,148,106
56,66,147,127,109,137
56,67,116,122,111,84
56,68,111,114,113,134
56,70,12,17,21,11
56,71,5,18,6,15
56,72,8,11,10,3
56,75,34,33,39,39
56,76,82,84,88,81
56,77,71,75,85,83
56,78,91,58,104,56
56,79,98,69,109,80
56,80,106,94,107,107
56,81,64,54,67,41
56,82,39,47,49,42
57,58,65,79,55,87
57,59,59,109,69,107
57,61,69,117,65,103
57,64,71,113,81,106
57,65,81,108,70,119
57,66,75,101,82,107
57,67,71,91,82,90
57,68,60,83,80,98
57,70,12,18,11,19
57,71,10,25,7,20
57,72,8,17,11,14
57,75,37,36,29,38
57,76,46,64,58,55
57,77,19,56,9,45
57,78,52,57,35,58
57,79,53,51,47,73
57,80,64,89,77,82
57,81,47,31,35,46
57,82,38,49,30,54
58,59,160,179,164,175
58,61,175,174,140,142
58,62,4,6,6,4
58,64,199,161,177,140
58,65,174,145,164,182
58,66,164,145,153,141
58,67,157,128,171,118
58,68,140,131,158,136
58,70,9,15,20,17
58,71,4,8,9,6
58,75,34,18,20,21
58,76,69,68,65,58
58,77,82,102,101,100
58,78,79,53,84,70
58,79,95,67,106,78
58,80,114,92,98,99
58,81,52,36,58,34
58,82,46,39,45,53
59,61,173,195,179,181
59,62,6,3,4,4
59,64,166,167,180,168
59,65,165,169,182,198
59,66,165,168,176,148
59,67,152,151,157,170
59,68,176,136,147,172
59,70,13,17,23,18
59,71,5,14,6,6
59,75,20,22,26,22
59,76,71,51,79,76
59,77,66,82,76,80
59,78,66,69,80,70
59,79,72,72,105,83
59,80,115,87,95,92
59,81,50,39,41,41
